北海道選挙管理委員会事務局

開票速報

衆議院比例代表選挙

【令和08年02月08日】

衆議院議員総選挙　比例代表　名簿届出政党等別得票数

全道計	確定
区分	確定	1	2	3	4	
日本共産党	国民民主党	中道改革連合	日本維新の会



清水町	*	75	308	1,979	155	
芽室町	*	101	649	4,106	269	
中札内村	*	33	117	948	77	
更別村	*	19	109	881	52	
大樹町	*	26	204	1,400	81	
広尾町	*	38	163	1,704	80	
幕別町	*	196	853	5,348	400	
池田町	*	59	188	1,405	90	
豊頃町	*	20	87	868	40	
本別町	*	83	208	1,604	113	
足寄町	*	39	176	1,374	93	
陸別町	*	20	81	548	26	
浦幌町	*	41	124	1,079	58	
十勝総合振興局 計	*	1,204	5,507	37,566	2,571	







釧路町	*	89	549	3,773	366	
厚岸町	*	43	242	2,229	135	
浜中町	*	34	154	1,632	81	
標茶町	*	45	173	1,545	138	
弟子屈町	*	61	222	1,638	141	
鶴居村	*	20	84	614	66	
白糠町	*	49	195	1,570	134	
釧路総合振興局 計	*	341	1,619	13,001	1,061	







別海町	*	54	424	3,690	216	
中標津町	*	110	768	4,751	420	
標津町	*	28	165	1,241	71	
羅臼町	*	28	127	1,117	91	
根室振興局 計	*	220	1,484	10,799	798	







町 村 計	*	6,263	27,382	198,136	14,767	







合 計	*	31,754	163,329	911,742	76,099	
全道計	確定
区分	確定	9	10	11	
開票率
（％）
チームみらい	日本保守党	減税日本・ゆうこく連合	




中央区	*	11,522	4,285	2,192	
確定
北区	*	9,464	3,685	1,838	
確定
   北区第１	*	492	126	45	
確定
   北区第２	*	8,972	3,559	1,793	
確定
東区	*	7,653	3,396	1,656	
確定
白石区	*	6,430	2,964	1,424	
確定
   白石区第１	*	6,003	2,759	1,304	
確定
   白石区第２	*	427	205	120	
確定
厚別区	*	4,586	1,675	849	
確定
豊平区	*	8,031	3,261	1,581	
確定
清田区	*	3,179	1,303	691	
確定
南区	*	4,159	1,841	1,042	
確定
西区	*	8,198	3,017	1,551	
確定
   西区第１	*	5,221	1,941	984	
確定
   西区第２	*	2,977	1,076	567	
確定
手稲区	*	4,137	1,711	810	
確定
札幌市	*	67,359	27,138	13,634	
確定







函館市	*	5,411	2,536	1,438	
確定
小樽市	*	2,028	1,047	575	
確定
旭川市	*	7,047	3,123	1,917	
確定
室蘭市	*	1,644	745	433	
確定
釧路市	*	3,018	1,725	914	
確定
帯広市	*	3,880	1,984	1,155	
確定
北見市	*	2,405	1,289	722	
確定
夕張市	*	98	49	41	
確定
岩見沢市	*	1,781	807	461	
確定
網走市	*	611	357	192	
確定
留萌市	*	336	149	79	
確定
苫小牧市	*	3,460	1,808	1,036	
確定
稚内市	*	630	335	151	
確定
美唄市	*	364	180	86	
確定
芦別市	*	217	101	61	
確定
江別市	*	3,379	1,515	742	
確定
赤平市	*	153	54	45	
確定
紋別市	*	368	197	131	
確定
士別市	*	340	149	101	
確定
名寄市	*	512	240	133	
確定
三笠市	*	126	66	33	
確定
根室市	*	381	225	90	
確定
千歳市	*	2,349	1,272	577	
確定
滝川市	*	790	370	213	
確定
砂川市	*	342	171	87	
確定
歌志内市	*	40	28	7	
確定
深川市	*	375	183	107	
確定
富良野市	*	441	209	120	
確定
登別市	*	800	417	244	
確定
恵庭市	*	1,794	950	438	
確定
伊達市	*	752	323	212	
確定
北広島市	*	1,566	705	413	
確定
石狩市	*	1,111	568	366	
確定
北斗市	*	742	424	259	
確定
市 計	*	116,650	51,439	27,213	
確定







南幌町	*	196	116	55	
確定
奈井江町	*	84	55	18	
確定
上砂川町	*	35	21	13	
確定
由仁町	*	105	61	36	
確定
長沼町	*	264	107	97	
確定
栗山町	*	225	121	88	
確定
